ARGENTINA; CANADA; GRUPO; ATLANTA; MERCEDES-BENZ STADIUM; 2; 0
ARGENTINA; CHILE; GRUPO; EAST RUTHERFORD; METLIFE STADIUM; 1; 0
PERU; CANADA; GRUPO; MIAMI; HARD ROCK STADIUM; 1; 1
CHILE; PERU; GRUPO; SANTA CLARA; LEVI'S STADIUM; 0; 2
ARGENTINA; PERU; GRUPO; HOUSTON; NRG STADIUM; 3; 1
MEXICO; ECUADOR; GRUPO; ARLINGTON; AT&T STADIUM; 2; 1
MEXICO; VENEZUELA; GRUPO; GLENDALE; STATE FARM STADIUM; 1; 0
JAMAICA; VENEZUELA; GRUPO; INGLEWOOD; SOFI STADIUM; 0; 1
ECUADOR; VENEZUELA; GRUPO; AUSTIN; Q2 STADIUM; 1; 2
JAMAICA; ECUADOR; GRUPO; KANSAS CITY; ARROWHEAD STADIUM; 2; 1
ESTADOS UNIDOS; URUGUAY; GRUPO; ORLANDO; EXPLORIA STADIUM; 2; 2
ESTADOS UNIDOS; PANAMA; GRUPO; PARADISE; ALLEGIANT STADIUM; 3; 0
BOLIVIA; PANAMA; GRUPO; KANSAS CITY; ARROWHEAD STADIUM; 1; 1
URUGUAY; PANAMA; GRUPO; AUSTIN; Q2 STADIUM; 1; 0
BOLIVIA; URUGUAY; GRUPO; EAST RUTHERFORD; METLIFE STADIUM; 0; 2
BRASIL; COLOMBIA; GRUPO; ATLANTA; MERCEDES-BENZ STADIUM; 2; 1
BRASIL; PARAGUAY; GRUPO; ARLINGTON; AT&T STADIUM; 1; 0
COSTA RICA; PARAGUAY; GRUPO; CHARLOTTE; BANK OF AMERICA STADIUM; 0; 2
COLOMBIA; PARAGUAY; GRUPO; INDIANAPOLIS; LUCAS OIL STADIUM; 1; 1
COSTA RICA; COLOMBIA; GRUPO; GLENDALE; STATE FARM STADIUM; 1; 2
